reweighted_sc	rmsBB_if	description	runtype
373.754	1.937	complex.ppk_0037	lr
374.396	1.799	complex.ppk_0011	hr
387.659	2.258	complex.ppk_0093	lr
388.189	2.148	complex.ppk_0019	hr
399.475	1.803	complex.ppk_0007	hr
405.869	2.396	complex.ppk_0089	lr
406.038	3.883	complex.ppk_0018	lr
406.148	2.46	complex.ppk_0018	hr
411.373	3.775	complex.ppk_0086	lr
411.797	3.448	complex.ppk_0014	hr
412.627	2.388	complex.ppk_0012	lr
412.734	1.712	complex.ppk_0042	hr
412.964	2.004	complex.ppk_0055	hr
414.862	2.844	complex.ppk_0031	lr
416.054	2.427	complex.ppk_0020	hr
416.144	2.141	complex.ppk_0093	hr
417.869	2.06	complex.ppk_0094	hr
418.483	2.451	complex.ppk_0030	lr
419.578	2.19	complex.ppk_0043	hr
420.386	2.087	complex.ppk_0044	lr
421.17	1.871	complex.ppk_0098	lr
421.246	1.401	complex.ppk_0052	hr
421.767	3.156	complex.ppk_0003	lr
423.665	3.348	complex.ppk_0066	hr
424.741	1.363	complex.ppk_0017	hr
425.138	2.889	complex.ppk_0091	lr
425.375	2.884	complex.ppk_0034	lr
425.74	1.639	complex.ppk_0047	hr
426.176	3.147	complex.ppk_0069	lr
426.381	2.409	complex.ppk_0057	lr
426.946	1.883	complex.ppk_0039	hr
427.934	4.564	complex.ppk_0045	lr
428.07	1.802	complex.ppk_0006	hr
429.538	2.235	complex.ppk_0004	lr
429.58	3.596	complex.ppk_0051	lr
430.287	2.636	complex.ppk_0014	lr
431.149	2.084	complex.ppk_0008	hr
432.494	2.347	complex.ppk_0010	lr
432.65	1.2	complex.ppk_0049	hr
432.957	3.019	complex.ppk_0017	lr
433.509	1.766	complex.ppk_0013	hr
434.206	2.041	complex.ppk_0067	hr
434.51	2.326	complex.ppk_0005	hr
435.402	2.199	complex.ppk_0097	hr
435.425	1.932	complex.ppk_0082	hr
436.347	1.829	complex.ppk_0073	hr
436.653	2.103	complex.ppk_0085	lr
437.555	1.649	complex.ppk_0010	hr
437.913	1.828	complex.ppk_0004	hr
438.302	2.706	complex.ppk_0026	lr
439.315	1.787	complex.ppk_0011	lr
439.732	1.916	complex.ppk_0078	lr
439.863	1.949	complex.ppk_0046	hr
